date,/m/05p0rrx,/m/0108bn2x,/g/11tskkw5c9,/g/11sfdkgmfn,/g/11hcz1r4wl,/g/11pcs9ny8w,/g/11bw1zmnts,/m/0273t5w,/g/1234z6p9,/m/020shm,/g/11gt__kf44,/m/09jx2,/m/01fss9,/g/11mcmf67yl,/m/010w1kk1,/m/06bmj,/m/02jnsq,/g/11vyhs52bj,/g/1211cg58,/m/04n7dpf,/g/11fb0vw2fn,/m/05457c,/g/11y119nb71,/g/1ymzxwzdh,/g/1hd_npv62,/g/11y97_pvw8,/m/0_t06w0,/g/1hhcjnjk8,/m/03cvdr8,/g/11sx278r80,/m/076ccs,/m/08bdb1,/m/06vthy,/g/11xdtrjhz,/m/0bk99,/m/01_mbc,/m/0g54q10,/g/11y4s2g9zc,/g/11sx270hw0,/m/0h5x4j3,/g/11bc6pz4wc,/g/11cm999bwp,/g/11f4pp7gnm,/g/11pb1mb808,/m/09sdbh,/g/11bc5nt74w,/m/026gp6r,/m/0g7cg,/m/0dhc24,/g/11bwcyffr7,/m/0b_zn7s,/m/01n5jq,/g/11c6tz417w,/m/01y_qq,/g/11c0xsqchh,/m/01fzl3,/m/02gr_,/m/05nbcg,/m/01s940,/m/0130fmqz,/m/027b9k,/m/018npy,/m/0657nv,/g/11nyxr7hxv,/g/11c55s6k2t,/g/11vz2cz87d,/m/0x2fg,/g/121hdpdf,/m/016pjk,/m/0bq3x,/m/0cbx95,/g/122t17dp,/m/025bfq,/m/0ccld,/m/014xsg,/m/06_wrtv,/g/11c1np3rvg,/m/02g0j0,/m/09pngm,/g/11qpk2v0pq,/m/01mq8p,/m/03ctrlg,/g/122919_0,/g/11vpwmz6vg,/m/02wpj1,/g/11bzx7cv2m,/g/11m6_4hjpt,/g/11vm2_r4hw,/g/11sg2tlrf0,/m/07_hy,/g/11cknh9qp1,/g/11sw_tmz6z,/m/0d063v,/m/06_7xx,/g/11lyxggfjt,/m/0380q,/g/11c5g9ql2b,/g/11hdq9v_sn,/g/11bc6n2sw6,/m/02rz0ly,/g/11x1ng30y,/m/06fhs,/m/06xbd,/m/01phdl,/m/03nfl,/m/05k97,/m/03bxwvx,/m/0dc7h,/m/01tbgl,/m/0br5fz,/m/0n5462l,/g/122l3gtx,/m/0j6v7,/g/11l2lxvky5,/g/11f2sl5v8_,/g/11j317gwf_,/g/11mw7nz8h_,/g/11kxqfzv4h,/g/11stj9b049,/m/03c18t5,/m/012t0g,/g/11q3qhxt3k,/g/121fwt0w,/m/069kd,/g/11g9mhrln7,/m/0cxdc,/g/11dxl6v_ff,/m/064ctn,/g/11dx9fx89k,/g/11bc6ldrb5,/m/017rf_,/g/11f5bxylc0,/m/09jcvs,/g/11twnws_cc,/g/121hrbch,/g/11f555cn8l,/g/11h79tp_8r,/g/11shd5x1t8,/m/02bft,/m/0ftsr,/m/03x69g,/m/0cn9bm,/g/11rc00sflx,/m/06796,/g/11q4gczjq8,/g/11g6qlbmr4,/m/0hpnr,/g/11sq21scf3,/m/0dq3fd,/g/11rbcdg93b,/g/11j8qr8rbs,/g/11v3xjch6h,/g/11f3sfth4w,/g/11ww7k4dcq,/m/0322db,/g/11mcz640x1,/g/11f1rm29b8,/g/11yg9d9k9g,/m/017tfz,/m/012llw50,/g/11xt0w58jz,/g/11kxnptn2h,/g/11sc9wv6gj,/g/11dftk47yk,/g/11fd6dg5b5,/g/11qwv9wbx8,/m/01ddm,/g/11kzq0jnkt,/m/02gy5l,/g/11jt20l831,/g/11h7_q3l6z,/g/11jp_j0m6d,/m/01h7lh,/m/0rfgxy2,/g/11ww08lq0j,/g/11vhqc7hb1,/m/02xz2,/m/0179v6,Country
2022-03-06,41,10,0,0,2,1.0,0.0,79.0,0.0,23.0,0,56,12,0,0,11,5,0,0,34,0,3,0,6,0,0,18,43,0,0,46,15,9,0,47,28,24,0,0,64,0,1,1,0,9,0,0,1,0,0,20,73,0,3,0,49,68,2,24,32,78,69,29,0,0,0,10,22,16,17,31,1,2,18,28,5,0,61,82,0,5,77,39,0,3,0,0,0,0,87,2,0,3,0,0,1,0,0,0,1,0,13,63,6,1,39.0,15.0,3.0,3.0,0.0,1.0,0.0,69.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,89.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,20.0,5.0,82.0,0.0,0.0,60.0,0.0,0.0,6.0,4.0,76.0,1.0,0.0,5.0,0.0,0.0,67.0,0.0,0.0,0.0,0,0,0,0,30,0,0,0,38,22,0,0,0,0,0,0,36,0,22,0,3,0,43,23,0,0.0,30.0,0.0,US
2022-03-13,33,9,0,0,2,1.0,0.0,81.0,0.0,23.0,0,43,6,0,0,10,4,0,0,47,0,3,0,7,0,0,18,50,0,0,44,15,9,0,47,29,20,0,0,70,0,0,1,0,8,0,0,1,0,0,23,72,0,3,0,44,66,3,25,40,77,62,31,0,0,0,9,24,16,20,31,1,3,14,25,5,0,62,65,0,5,76,36,0,4,0,0,0,0,100,2,0,3,0,0,1,0,0,0,1,0,11,58,5,1,25.0,14.0,2.0,3.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,94.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,20.0,6.0,83.0,0.0,0.0,62.0,0.0,0.0,7.0,3.0,72.0,1.0,0.0,4.0,0.0,0.0,67.0,0.0,0.0,0.0,0,0,0,0,24,0,0,0,44,22,0,0,0,0,0,0,33,0,22,0,3,0,33,20,0,0.0,62.0,1.0,US
2022-03-20,33,10,0,0,2,2.0,0.0,83.0,0.0,26.0,0,40,6,0,0,8,5,0,0,40,0,3,0,8,0,0,18,47,0,0,43,15,9,0,49,29,21,0,0,70,0,1,1,0,8,0,0,1,0,0,18,75,0,3,0,49,69,2,26,33,72,63,29,0,0,0,12,26,15,17,32,1,3,14,25,5,0,65,79,0,5,79,35,0,4,0,0,0,0,83,2,0,3,0,0,1,0,0,0,1,0,12,60,5,2,22.0,12.0,3.0,3.0,0.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,86.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,21.0,5.0,85.0,0.0,0.0,61.0,1.0,0.0,7.0,3.0,77.0,1.0,0.0,4.0,0.0,0.0,70.0,0.0,0.0,0.0,0,0,0,0,31,0,0,0,44,22,0,1,0,0,0,0,36,0,24,0,3,0,36,25,0,0.0,79.0,2.0,US
2022-03-27,37,11,0,0,2,2.0,0.0,85.0,0.0,26.0,0,41,6,0,0,12,4,0,0,40,0,3,0,9,0,0,20,41,0,0,36,13,9,0,45,28,20,0,0,77,0,1,1,0,7,0,0,1,0,0,17,78,0,4,0,58,69,2,26,29,78,69,30,0,0,0,11,39,17,16,38,1,2,11,26,10,0,67,79,0,6,79,35,0,3,0,0,0,0,80,2,0,5,0,0,1,0,0,0,1,0,17,63,6,3,22.0,11.0,4.0,4.0,0.0,2.0,0.0,82.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,89.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,19.0,6.0,91.0,0.0,0.0,61.0,0.0,0.0,8.0,3.0,82.0,1.0,0.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0,0,0,0,20,0,0,0,45,21,0,0,0,0,0,0,34,0,25,0,4,0,30,16,0,0.0,69.0,1.0,US
2022-04-03,32,10,0,0,2,2.0,0.0,89.0,0.0,27.0,0,41,7,0,0,17,4,0,0,44,0,3,0,9,0,0,27,40,0,0,40,13,8,0,46,28,19,0,0,77,0,0,1,0,6,0,0,1,0,0,15,79,0,4,0,62,69,3,25,30,77,78,27,0,0,0,11,29,18,19,41,1,2,10,27,5,0,67,76,0,6,77,34,0,3,0,0,0,0,83,2,0,5,0,0,1,0,0,0,1,0,18,70,7,3,23.0,10.0,4.0,4.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,92.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,20.0,5.0,92.0,0.0,0.0,61.0,1.0,0.0,8.0,4.0,84.0,1.0,0.0,4.0,0.0,0.0,65.0,0.0,0.0,0.0,0,0,0,0,35,0,0,0,44,18,0,1,0,0,0,0,35,0,25,0,4,0,30,17,0,0.0,47.0,1.0,US
2022-04-10,32,9,0,0,2,2.0,0.0,85.0,0.0,28.0,0,59,16,0,0,17,4,0,0,42,0,3,0,7,0,0,23,38,0,0,42,13,9,0,43,27,20,0,0,80,0,0,1,0,6,0,0,1,0,0,17,76,0,4,0,54,67,2,24,28,73,70,25,0,0,0,11,26,19,18,38,1,2,8,25,5,0,68,65,0,6,69,32,0,3,0,0,0,0,87,1,0,5,0,0,1,0,0,0,1,0,15,64,6,2,20.0,10.0,4.0,4.0,0.0,2.0,0.0,85.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,88.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,20.0,5.0,92.0,0.0,0.0,64.0,1.0,0.0,7.0,4.0,77.0,1.0,0.0,4.0,0.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0,32,0,0,0,40,18,0,1,0,0,0,0,44,0,22,0,4,0,42,16,0,0.0,50.0,1.0,US
2022-04-17,28,8,0,0,2,2.0,0.0,87.0,0.0,24.0,0,46,6,0,0,13,5,0,0,46,0,3,0,9,0,0,19,41,0,0,39,14,9,0,42,29,19,0,0,84,0,1,1,0,5,0,0,1,0,0,16,80,0,4,0,56,72,3,25,28,71,79,29,0,0,0,11,27,19,22,37,1,2,9,25,6,0,72,77,0,6,78,31,0,3,0,0,0,0,78,1,0,100,1,0,1,0,0,0,1,0,20,64,7,3,24.0,11.0,5.0,5.0,1.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,91.0,0.0,0.0,4.0,0.0,2.0,7.0,1.0,0.0,0.0,25.0,5.0,90.0,0.0,0.0,64.0,1.0,0.0,8.0,4.0,82.0,1.0,0.0,5.0,0.0,0.0,63.0,0.0,0.0,0.0,0,0,0,0,28,0,0,0,42,21,0,1,0,0,0,0,37,0,25,0,4,0,32,14,0,0.0,44.0,1.0,US
2022-04-24,29,8,0,0,1,2.0,0.0,80.0,0.0,21.0,0,44,7,0,0,23,9,0,0,44,0,3,0,10,0,0,18,42,0,0,37,14,8,0,44,27,19,0,0,86,0,1,1,0,6,0,0,1,0,0,15,81,0,5,0,57,83,5,24,30,72,69,32,0,0,0,12,28,21,29,39,1,2,9,24,6,0,67,73,0,7,79,34,0,4,0,0,0,0,73,1,0,8,1,0,2,0,0,0,1,0,20,62,7,3,25.0,10.0,5.0,5.0,1.0,2.0,0.0,89.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,84.0,0.0,0.0,4.0,0.0,1.0,14.0,1.0,0.0,0.0,21.0,4.0,94.0,0.0,0.0,63.0,1.0,0.0,8.0,4.0,90.0,1.0,0.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0,0,0,0,26,0,0,0,43,20,0,1,0,0,0,0,36,0,26,0,3,0,31,12,0,0.0,45.0,1.0,US
2022-05-01,30,9,0,0,1,2.0,0.0,90.0,0.0,21.0,0,47,8,0,0,19,6,0,0,66,0,3,0,10,0,0,19,45,0,0,46,12,7,0,43,25,18,0,0,83,0,1,1,0,6,0,0,1,0,0,13,84,0,3,0,52,77,4,23,13,75,69,32,0,0,0,12,26,14,22,39,0,2,8,23,6,0,60,71,0,5,71,32,0,4,0,0,0,0,72,1,0,6,0,0,2,0,0,0,0,0,18,58,6,3,26.0,9.0,5.0,4.0,1.0,2.0,0.0,84.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,80.0,0.0,0.0,4.0,0.0,1.0,7.0,1.0,0.0,0.0,21.0,5.0,95.0,0.0,0.0,61.0,1.0,0.0,8.0,6.0,94.0,1.0,0.0,5.0,0.0,0.0,63.0,0.0,0.0,0.0,0,0,0,0,29,0,0,0,37,18,0,0,0,0,0,0,42,0,30,0,3,0,32,16,0,0.0,55.0,1.0,US
2022-05-08,75,15,0,0,2,2.0,0.0,77.0,0.0,20.0,0,66,23,0,0,22,12,0,0,41,0,3,0,10,0,0,19,44,0,0,36,12,7,0,42,27,18,0,0,83,0,1,1,0,4,0,0,1,0,0,14,79,0,2,0,49,80,3,22,13,74,66,34,0,0,0,11,24,15,22,38,0,2,8,24,6,0,58,65,0,5,69,28,0,4,0,0,0,0,75,1,0,6,0,0,1,0,0,0,0,0,18,68,7,3,26.0,10.0,5.0,4.0,1.0,2.0,0.0,82.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,85.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.0,0.0,19.0,5.0,96.0,0.0,0.0,59.0,0.0,0.0,10.0,7.0,84.0,0.0,0.0,5.0,0.0,0.0,62.0,0.0,0.0,0.0,0,0,0,0,26,0,0,0,34,18,0,0,0,0,0,0,42,0,34,0,2,0,38,21,0,0.0,69.0,1.0,US
2022-05-15,49,9,0,0,2,2.0,0.0,69.0,0.0,17.0,0,46,6,0,0,27,9,0,0,35,0,3,0,9,0,0,18,40,0,0,34,13,7,0,43,24,20,0,0,79,0,1,1,0,4,0,1,1,0,0,16,76,0,2,0,41,68,3,23,13,75,62,29,0,0,0,11,24,14,19,35,0,2,6,23,6,0,59,58,0,5,70,30,0,5,0,0,0,0,74,1,0,5,0,0,1,0,0,0,0,0,15,64,6,2,20.0,10.0,4.0,3.0,0.0,2.0,0.0,81.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,81.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,20.0,5.0,100.0,0.0,0.0,60.0,1.0,0.0,10.0,7.0,78.0,0.0,0.0,4.0,0.0,0.0,63.0,0.0,0.0,0.0,0,0,0,0,35,0,0,0,34,19,0,0,0,0,0,0,33,0,29,0,3,0,30,13,0,0.0,33.0,1.0,US
